EXPORTTYPE;FILE;FORMAT;FTYPE;IDENTITY;DECIMAL;SEPARATOR;MTYPE;INSTRUMENT;LABORATORY;OPERATOR;SAMPLE;SAMPLE MASS /mg;REFERENCE;REFERENCE MASS /mg;SAMPLE CRUCIBLE MASS /mg;REFERENCE CRUCIBLE MASS /mg;M.RANGE /µV;CORR. CODE;EXO;RANGE;SEGMENT
DATA COMPARE;CSEW1.ngb-sdg;NETZSCH5;ANSI;C1;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C1;20.76;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW1.ngb-sdg;NETZSCH5;ANSI;C1;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C1;20.76;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW1.ngb-sdg;NETZSCH5;ANSI;C1;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C1;20.76;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW2.ngb-sdg;NETZSCH5;ANSI;C2;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C2;20.44;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW2.ngb-sdg;NETZSCH5;ANSI;C2;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C2;20.44;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW2.ngb-sdg;NETZSCH5;ANSI;C2;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C2;20.44;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW3.ngb-sdg;NETZSCH5;ANSI;C3;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C3;20.22;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW3.ngb-sdg;NETZSCH5;ANSI;C3;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C3;20.22;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW3.ngb-sdg;NETZSCH5;ANSI;C3;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C3;20.22;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW4.ngb-sdg;NETZSCH5;ANSI;C4;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C4;20.67;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW4.ngb-sdg;NETZSCH5;ANSI;C4;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C4;20.67;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW4.ngb-sdg;NETZSCH5;ANSI;C4;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C4;20.67;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW5.ngb-sdg;NETZSCH5;ANSI;C5;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C5;20.17;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW5.ngb-sdg;NETZSCH5;ANSI;C5;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C5;20.17;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW5.ngb-sdg;NETZSCH5;ANSI;C5;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C5;20.17;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW6.ngb-sdg;NETZSCH5;ANSI;C6;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C6;19.63;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW6.ngb-sdg;NETZSCH5;ANSI;C6;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C6;19.63;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW6.ngb-sdg;NETZSCH5;ANSI;C6;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C6;19.63;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW7.ngb-sdg;NETZSCH5;ANSI;C7;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C7;20.46;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW7.ngb-sdg;NETZSCH5;ANSI;C7;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C7;20.46;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW7.ngb-sdg;NETZSCH5;ANSI;C7;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C7;20.46;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW8.ngb-sdg;NETZSCH5;ANSI;C8;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C8;20.13;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW8.ngb-sdg;NETZSCH5;ANSI;C8;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C8;20.13;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW8.ngb-sdg;NETZSCH5;ANSI;C8;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C8;20.13;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW9.ngb-sdg;NETZSCH5;ANSI;C9;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C9;19.94;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW9.ngb-sdg;NETZSCH5;ANSI;C9;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C9;19.94;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW9.ngb-sdg;NETZSCH5;ANSI;C9;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C9;19.94;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
DATA COMPARE;CSEW10.ngb-sdg;NETZSCH5;ANSI;C10;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C10;21.11;-----;0;0;0;5000;059;-1;20°C/20.0(K/min)/300°C;S1/5
DATA COMPARE;CSEW10.ngb-sdg;NETZSCH5;ANSI;C10;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C10;21.11;-----;0;0;0;5000;059;-1;300°C/20.0(K/min)/-50°C;S3/5
DATA COMPARE;CSEW10.ngb-sdg;NETZSCH5;ANSI;C10;POINT;SEMICOLON;DSC;NETZSCH DSC 214;N310;JS;C10;21.11;-----;0;0;0;5000;059;-1;-50°C/20.0(K/min)/300°C;S5/5
