file;identity;sample;sample mass_mg;range;segment
CSEW1.ngb-sdg;C1;C1;20.76;20°C/20.0(K/min)/300°C;S1/5
CSEW1.ngb-sdg;C1;C1;20.76;300°C/20.0(K/min)/-50°C;S3/5
CSEW1.ngb-sdg;C1;C1;20.76;-50°C/20.0(K/min)/300°C;S5/5
CSEW2.ngb-sdg;C2;C2;20.44;20°C/20.0(K/min)/300°C;S1/5
CSEW2.ngb-sdg;C2;C2;20.44;300°C/20.0(K/min)/-50°C;S3/5
CSEW2.ngb-sdg;C2;C2;20.44;-50°C/20.0(K/min)/300°C;S5/5
CSEW3.ngb-sdg;C3;C3;20.22;20°C/20.0(K/min)/300°C;S1/5
CSEW3.ngb-sdg;C3;C3;20.22;300°C/20.0(K/min)/-50°C;S3/5
CSEW3.ngb-sdg;C3;C3;20.22;-50°C/20.0(K/min)/300°C;S5/5
CSEW4.ngb-sdg;C4;C4;20.67;20°C/20.0(K/min)/300°C;S1/5
CSEW4.ngb-sdg;C4;C4;20.67;300°C/20.0(K/min)/-50°C;S3/5
CSEW4.ngb-sdg;C4;C4;20.67;-50°C/20.0(K/min)/300°C;S5/5
CSEW5.ngb-sdg;C5;C5;20.17;20°C/20.0(K/min)/300°C;S1/5
CSEW5.ngb-sdg;C5;C5;20.17;300°C/20.0(K/min)/-50°C;S3/5
CSEW5.ngb-sdg;C5;C5;20.17;-50°C/20.0(K/min)/300°C;S5/5
CSEW6.ngb-sdg;C6;C6;19.63;20°C/20.0(K/min)/300°C;S1/5
CSEW6.ngb-sdg;C6;C6;19.63;300°C/20.0(K/min)/-50°C;S3/5
CSEW6.ngb-sdg;C6;C6;19.63;-50°C/20.0(K/min)/300°C;S5/5
CSEW7.ngb-sdg;C7;C7;20.46;20°C/20.0(K/min)/300°C;S1/5
CSEW7.ngb-sdg;C7;C7;20.46;300°C/20.0(K/min)/-50°C;S3/5
CSEW7.ngb-sdg;C7;C7;20.46;-50°C/20.0(K/min)/300°C;S5/5
CSEW8.ngb-sdg;C8;C8;20.13;20°C/20.0(K/min)/300°C;S1/5
CSEW8.ngb-sdg;C8;C8;20.13;300°C/20.0(K/min)/-50°C;S3/5
CSEW8.ngb-sdg;C8;C8;20.13;-50°C/20.0(K/min)/300°C;S5/5
CSEW9.ngb-sdg;C9;C9;19.94;20°C/20.0(K/min)/300°C;S1/5
CSEW9.ngb-sdg;C9;C9;19.94;300°C/20.0(K/min)/-50°C;S3/5
CSEW9.ngb-sdg;C9;C9;19.94;-50°C/20.0(K/min)/300°C;S5/5
CSEW10.ngb-sdg;C10;C10;21.11;20°C/20.0(K/min)/300°C;S1/5
CSEW10.ngb-sdg;C10;C10;21.11;300°C/20.0(K/min)/-50°C;S3/5
CSEW10.ngb-sdg;C10;C10;21.11;-50°C/20.0(K/min)/300°C;S5/5
